file,function,func_body,str_uncaught_exceptions,n_try_except,n_try_pass,n_finally,n_generic_except,n_raise,n_captures_broad_raise,n_captures_try_except_raise,n_captures_misplaced_bare_raise,n_try_else,n_try_return,str_except_identifiers,str_raise_identifiers,str_except_block,n_nested_try,n_bare_except,n_bare_raise_finally,str_captures_except,str_code_without_try_except
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/purview/azure-purview-datamap/azure/purview/datamap/operations/_operations.py,remove_business_metadata,"def remove_business_metadata(  # pylint: disable=inconsistent-return-statements
        self, guid: str, body: Union[Dict[str, Dict[str, Any]], IO[bytes]], **kwargs: Any
    ) -> None:
        """"""Remove business metadata from an entity.

        :param guid: The globally unique identifier of the entity. Required.
        :type guid: str
        :param body: Business metadata payload. Is either a {str: {str: Any}} type or a IO[bytes] type.
         Required.
        :type body: dict[str, dict[str, any]] or IO[bytes]
        :return: None
        :rtype: None
        :raises ~azure.core.exceptions.HttpResponseError:
        """"""
        error_map: MutableMapping = {
            401: ClientAuthenticationError,
            404: ResourceNotFoundError,
            409: ResourceExistsError,
            304: ResourceNotModifiedError,
        }
        error_map.update(kwargs.pop(""error_map"", {}) or {})

        _headers = case_insensitive_dict(kwargs.pop(""headers"", {}) or {})
        _params = kwargs.pop(""params"", {}) or {}

        content_type: Optional[str] = kwargs.pop(""content_type"", _headers.pop(""Content-Type"", None))
        cls: ClsType[None] = kwargs.pop(""cls"", None)

        content_type = content_type or ""application/json""
        _content = None
        if isinstance(body, (IOBase, bytes)):
            _content = body
        else:
            _content = json.dumps(body, cls=SdkJSONEncoder, exclude_readonly=True)  # type: ignore

        _request = build_entity_remove_business_metadata_request(
            guid=guid,
            content_type=content_type,
            content=_content,
            headers=_headers,
            params=_params,
        )
        path_format_arguments = {
            ""endpoint"": self._serialize.url(""self._config.endpoint"", self._config.endpoint, ""str"", skip_quote=True),
        }
        _request.url = self._client.format_url(_request.url, **path_format_arguments)

        _stream = False
        pipeline_response: PipelineResponse = self._client._pipeline.run(  # pylint: disable=protected-access
            _request, stream=_stream, **kwargs
        )

        response = pipeline_response.http_response

        if response.status_code not in [204]:
            map_error(status_code=response.status_code, response=response, error_map=error_map)
            error = _failsafe_deserialize(_models.AtlasErrorResponse, response.json())
            raise HttpResponseError(response=response, model=error)

        if cls:
            return cls(pipeline_response, None, {})  # type: ignore",,0,0,0,0,1,0,0,0,0,0,,HttpResponseError,,0,0,0,[],
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/computefleet/azure-mgmt-computefleet/azure/mgmt/computefleet/_validation.py,_index_with_default,"def _index_with_default(value: str, default: int = -1) -> int:
        """"""Get the index of value in lst, or return default if not found.

        :param value: The value to search for in the api_versions_list.
        :type value: str
        :param default: The default value to return if the value is not found.
        :type default: int
        :return: The index of the value in the list, or the default value if not found.
        :rtype: int
        """"""
        try:
            return api_versions_list.index(value)
        except ValueError:
            return default",,1,0,0,0,0,0,0,0,0,1,ValueError,,return default,0,0,0,['except ValueError:\n            return default'],"def _index_with_default(value: str, default: int = -1) -> int:
        """"""Get the index of value in lst, or return default if not found.

        :param value: The value to search for in the api_versions_list.
        :type value: str
        :param default: The default value to return if the value is not found.
        :type default: int
        :return: The index of the value in the list, or the default value if not found.
        :rtype: int
        """"""
        return api_versions_list.index(value)"
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/monitor/azure-monitor-query/azure/monitor/query/_utils/serialization.py,deserialize_unicode,"def deserialize_unicode(data):
        """"""Preserve unicode objects in Python 2, otherwise return data
        as a string.

        :param str data: response string to be deserialized.
        :return: Deserialized string.
        :rtype: str or unicode
        """"""
        # We might be here because we have an enum modeled as string,
        # and we try to deserialize a partial dict with enum inside
        if isinstance(data, Enum):
            return data

        # Consider this is real string
        try:
            if isinstance(data, unicode):  # type: ignore
                return data
        except NameError:
            return str(data)
        return str(data)",,1,0,0,0,0,0,0,0,0,0,NameError,,return str(data),0,0,0,['except NameError:\n            return str(data)'],"def deserialize_unicode(data):
        """"""Preserve unicode objects in Python 2, otherwise return data
        as a string.

        :param str data: response string to be deserialized.
        :return: Deserialized string.
        :rtype: str or unicode
        """"""
        # We might be here because we have an enum modeled as string,
        # and we try to deserialize a partial dict with enum inside
        if isinstance(data, Enum):
            return data

        # Consider this is real string
        if isinstance(data, unicode):  # type: ignore
                return data
        return str(data)"
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/recoveryservicesdatareplication/azure-mgmt-recoveryservicesdatareplication/azure/mgmt/recoveryservicesdatareplication/aio/operations/_operations.py,prepare_request,"def prepare_request(next_link=None):
            if not next_link:

                _request = build_policy_list_request(
                    resource_group_name=resource_group_name,
                    vault_name=vault_name,
                    subscription_id=self._config.subscription_id,
                    api_version=self._config.api_version,
                    headers=_headers,
                    params=_params,
                )
                path_format_arguments = {
                    ""endpoint"": self._serialize.url(
                        ""self._config.base_url"", self._config.base_url, ""str"", skip_quote=True
                    ),
                }
                _request.url = self._client.format_url(_request.url, **path_format_arguments)

            else:
                # make call to next link with the client's api-version
                _parsed_next_link = urllib.parse.urlparse(next_link)
                _next_request_params = case_insensitive_dict(
                    {
                        key: [urllib.parse.quote(v) for v in value]
                        for key, value in urllib.parse.parse_qs(_parsed_next_link.query).items()
                    }
                )
                _next_request_params[""api-version""] = self._config.api_version
                _request = HttpRequest(
                    ""GET"", urllib.parse.urljoin(next_link, _parsed_next_link.path), params=_next_request_params
                )
                path_format_arguments = {
                    ""endpoint"": self._serialize.url(
                        ""self._config.base_url"", self._config.base_url, ""str"", skip_quote=True
                    ),
                }
                _request.url = self._client.format_url(_request.url, **path_format_arguments)

            return _request",,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,[],
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/purview/azure-purview-scanning/azure/purview/scanning/operations/_operations.py,prepare_request,"def prepare_request(next_link=None):
            if not next_link:
                
                request = build_scan_result_list_scan_history_request(
                    data_source_name=data_source_name,
                    scan_name=scan_name,
                    template_url=self.list_scan_history.metadata['url'],
                )
                request = _convert_request(request)
                path_format_arguments = {
                    ""Endpoint"": self._serialize.url(""self._config.endpoint"", self._config.endpoint, 'str', skip_quote=True),
                }
                request.url = self._client.format_url(request.url, **path_format_arguments)

            else:
                
                request = build_scan_result_list_scan_history_request(
                    data_source_name=data_source_name,
                    scan_name=scan_name,
                    template_url=next_link,
                )
                request = _convert_request(request)
                path_format_arguments = {
                    ""Endpoint"": self._serialize.url(""self._config.endpoint"", self._config.endpoint, 'str', skip_quote=True),
                }
                request.url = self._client.format_url(request.url, **path_format_arguments)

                path_format_arguments = {
                    ""Endpoint"": self._serialize.url(""self._config.endpoint"", self._config.endpoint, 'str', skip_quote=True),
                }
                request.method = ""GET""
            return request",,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,[],
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/network/azure-mgmt-network/azure/mgmt/network/aio/operations/_operations.py,_reset_vpn_client_shared_key_initial,"async def _reset_vpn_client_shared_key_initial(
        self, resource_group_name: str, virtual_network_gateway_name: str, **kwargs: Any
    ) -> AsyncIterator[bytes]:
        error_map: MutableMapping = {
            401: ClientAuthenticationError,
            404: ResourceNotFoundError,
            409: ResourceExistsError,
            304: ResourceNotModifiedError,
        }
        error_map.update(kwargs.pop(""error_map"", {}) or {})

        _headers = kwargs.pop(""headers"", {}) or {}
        _params = case_insensitive_dict(kwargs.pop(""params"", {}) or {})

        api_version: str = kwargs.pop(""api_version"", _params.pop(""api-version"", ""2024-07-01""))
        cls: ClsType[AsyncIterator[bytes]] = kwargs.pop(""cls"", None)

        _request = build_virtual_network_gateways_reset_vpn_client_shared_key_request(
            resource_group_name=resource_group_name,
            virtual_network_gateway_name=virtual_network_gateway_name,
            subscription_id=self._config.subscription_id,
            api_version=api_version,
            headers=_headers,
            params=_params,
        )
        _request.url = self._client.format_url(_request.url)

        _decompress = kwargs.pop(""decompress"", True)
        _stream = True
        pipeline_response: PipelineResponse = await self._client._pipeline.run(  # pylint: disable=protected-access
            _request, stream=_stream, **kwargs
        )

        response = pipeline_response.http_response

        if response.status_code not in [200, 202]:
            try:
                await response.read()  # Load the body in memory and close the socket
            except (StreamConsumedError, StreamClosedError):
                pass
            map_error(status_code=response.status_code, response=response, error_map=error_map)
            raise HttpResponseError(response=response, error_format=ARMErrorFormat)

        deserialized = response.stream_download(self._client._pipeline, decompress=_decompress)

        if cls:
            return cls(pipeline_response, deserialized, {})  # type: ignore

        return deserialized  # type: ignore",,1,1,0,0,1,0,0,0,0,0,StreamConsumedError StreamClosedError,HttpResponseError,pass,0,0,0,"['except (StreamConsumedError, StreamClosedError):\n                pass']","async def _reset_vpn_client_shared_key_initial(
        self, resource_group_name: str, virtual_network_gateway_name: str, **kwargs: Any
    ) -> AsyncIterator[bytes]:
        error_map: MutableMapping = {
            401: ClientAuthenticationError,
            404: ResourceNotFoundError,
            409: ResourceExistsError,
            304: ResourceNotModifiedError,
        }
        error_map.update(kwargs.pop(""error_map"", {}) or {})

        _headers = kwargs.pop(""headers"", {}) or {}
        _params = case_insensitive_dict(kwargs.pop(""params"", {}) or {})

        api_version: str = kwargs.pop(""api_version"", _params.pop(""api-version"", ""2024-07-01""))
        cls: ClsType[AsyncIterator[bytes]] = kwargs.pop(""cls"", None)

        _request = build_virtual_network_gateways_reset_vpn_client_shared_key_request(
            resource_group_name=resource_group_name,
            virtual_network_gateway_name=virtual_network_gateway_name,
            subscription_id=self._config.subscription_id,
            api_version=api_version,
            headers=_headers,
            params=_params,
        )
        _request.url = self._client.format_url(_request.url)

        _decompress = kwargs.pop(""decompress"", True)
        _stream = True
        pipeline_response: PipelineResponse = await self._client._pipeline.run(  # pylint: disable=protected-access
            _request, stream=_stream, **kwargs
        )

        response = pipeline_response.http_response

        if response.status_code not in [200, 202]:
            await response.read()  # Load the body in memory and close the socket
            map_error(status_code=response.status_code, response=response, error_map=error_map)
            raise HttpResponseError(response=response, error_format=ARMErrorFormat)

        deserialized = response.stream_download(self._client._pipeline, decompress=_decompress)

        if cls:
            return cls(pipeline_response, deserialized, {})  # type: ignore

        return deserialized  # type: ignore"
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/maps/azure-maps-weather/samples/async_samples/get_daily_indices_async.py,get_daily_indices,"async def get_daily_indices():
    from azure.core.credentials import AzureKeyCredential
    from azure.maps.weather.aio import MapsWeatherClient

    maps_weather_client = MapsWeatherClient(credential=AzureKeyCredential(subscription_key))
    try:
        async with maps_weather_client:
            result = await maps_weather_client.get_daily_indices(coordinates=[25.0338053, 121.5640089])
            print(json.dumps(result, indent=4))
    except HttpResponseError as exception:
        if exception.error is not None:
            print(f""Error Code: {exception.error.code}"")
            print(f""Message: {exception.error.message}"")",,1,0,0,0,0,0,0,0,0,0,HttpResponseError,,"if exception.error is not None:
            print(f""Error Code: {exception.error.code}"")
            print(f""Message: {exception.error.message}"")",0,0,0,"['except HttpResponseError as exception:\n        if exception.error is not None:\n            print(f""Error Code: {exception.error.code}"")\n            print(f""Message: {exception.error.message}"")']","async def get_daily_indices():
    from azure.core.credentials import AzureKeyCredential
    from azure.maps.weather.aio import MapsWeatherClient

    maps_weather_client = MapsWeatherClient(credential=AzureKeyCredential(subscription_key))
    async with maps_weather_client:
            result = await maps_weather_client.get_daily_indices(coordinates=[25.0338053, 121.5640089])
            print(json.dumps(result, indent=4))"
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/testbase/azure-mgmt-testbase/azure/mgmt/testbase/_serialization.py,query,"def query(self, name, data, data_type, **kwargs):
        """"""Serialize data intended for a URL query.

        :param data: The data to be serialized.
        :param str data_type: The type to be serialized from.
        :rtype: str
        :raises: TypeError if serialization fails.
        :raises: ValueError if data is None
        """"""
        try:
            # Treat the list aside, since we don't want to encode the div separator
            if data_type.startswith(""[""):
                internal_data_type = data_type[1:-1]
                data = [self.serialize_data(d, internal_data_type, **kwargs) if d is not None else """" for d in data]
                if not kwargs.get(""skip_quote"", False):
                    data = [quote(str(d), safe="""") for d in data]
                return str(self.serialize_iter(data, internal_data_type, **kwargs))

            # Not a list, regular serialization
            output = self.serialize_data(data, data_type, **kwargs)
            if data_type == ""bool"":
                output = json.dumps(output)
            if kwargs.get(""skip_quote"") is True:
                output = str(output)
            else:
                output = quote(str(output), safe="""")
        except SerializationError:
            raise TypeError(""{} must be type {}."".format(name, data_type))
        else:
            return str(output)",,1,0,0,0,1,0,0,0,1,0,SerializationError,TypeError,"raise TypeError(""{} must be type {}."".format(name, data_type))",0,0,0,"['except SerializationError:\n            raise TypeError(""{} must be type {}."".format(name, data_type))']","def query(self, name, data, data_type, **kwargs):
        """"""Serialize data intended for a URL query.

        :param data: The data to be serialized.
        :param str data_type: The type to be serialized from.
        :rtype: str
        :raises: TypeError if serialization fails.
        :raises: ValueError if data is None
        """"""
        if data_type.startswith(""[""):
                internal_data_type = data_type[1:-1]
                data = [self.serialize_data(d, internal_data_type, **kwargs) if d is not None else """" for d in data]
                if not kwargs.get(""skip_quote"", False):
                    data = [quote(str(d), safe="""") for d in data]
                return str(self.serialize_iter(data, internal_data_type, **kwargs))

            # Not a list, regular serialization
            output = self.serialize_data(data, data_type, **kwargs)
            if data_type == ""bool"":
                output = json.dumps(output)
            if kwargs.get(""skip_quote"") is True:
                output = str(output)
            else:
                output = quote(str(output), safe="""")"
/home/talescunha/TCC/exception-miner-multi/projects/py/azure-sdk-for-python/sdk/communication/azure-communication-callautomation/azure/communication/callautomation/_shared/utils.py,create_access_token,"def create_access_token(token) -> AccessToken:
    """"""Creates an instance of azure.core.credentials.AccessToken from a
    string token. The input string is jwt token in the following form:
    <token_header>.<token_payload>.<token_signature>
    This method looks into the token_payload which is a json and extracts the expiry time
    for that token and creates a tuple of type azure.core.credentials.AccessToken
    (<string_token>, <expiry>)
    :param token: User token
    :type token: str
    :return: Instance of azure.core.credentials.AccessToken - token and expiry date of it
    :rtype: ~azure.core.credentials.AccessToken
    """"""

    token_parse_err_msg = ""Token is not formatted correctly""
    parts = token.split(""."")

    if len(parts) < 3:
        raise ValueError(token_parse_err_msg)

    try:
        padded_base64_payload = base64.b64decode(parts[1] + ""=="").decode(""ascii"")
        payload = json.loads(padded_base64_payload)
        return AccessToken(
            token,
            _convert_datetime_to_utc_int(datetime.fromtimestamp(payload[""exp""], TZ_UTC)),
        )
    except ValueError as val_error:
        raise ValueError(token_parse_err_msg) from val_error",,1,0,0,0,2,0,0,0,0,1,ValueError,ValueError ValueError,raise ValueError(token_parse_err_msg) from val_error,0,0,0,['except ValueError as val_error:\n        raise ValueError(token_parse_err_msg) from val_error'],"def create_access_token(token) -> AccessToken:
    """"""Creates an instance of azure.core.credentials.AccessToken from a
    string token. The input string is jwt token in the following form:
    <token_header>.<token_payload>.<token_signature>
    This method looks into the token_payload which is a json and extracts the expiry time
    for that token and creates a tuple of type azure.core.credentials.AccessToken
    (<string_token>, <expiry>)
    :param token: User token
    :type token: str
    :return: Instance of azure.core.credentials.AccessToken - token and expiry date of it
    :rtype: ~azure.core.credentials.AccessToken
    """"""

    token_parse_err_msg = ""Token is not formatted correctly""
    parts = token.split(""."")

    if len(parts) < 3:
        raise ValueError(token_parse_err_msg)

    padded_base64_payload = base64.b64decode(parts[1] + ""=="").decode(""ascii"")
        payload = json.loads(padded_base64_payload)
        return AccessToken(
            token,
            _convert_datetime_to_utc_int(datetime.fromtimestamp(payload[""exp""], TZ_UTC)),
        )"
/home/talescunha/TCC/exception-miner-multi/projects/py/electrum/tests/test_daemon.py,test_cannot_unify_two_std_wallets_both_have_ks_and_sto_enc,"async def test_cannot_unify_two_std_wallets_both_have_ks_and_sto_enc(self):
        path1 = self._restore_wallet_from_text(""9dk"", password=""123456"", encrypt_file=True)
        path2 = self._restore_wallet_from_text(""x8"",  password=""asdasd"", encrypt_file=True)
        with open(path1, ""rb"") as f:
            raw1_before = f.read()
        with open(path2, ""rb"") as f:
            raw2_before = f.read()

        can_be_unified, is_unified = self.daemon._check_password_for_directory(old_password=""123456"", wallet_dir=self.wallet_dir)
        self.assertEqual((False, False), (can_be_unified, is_unified))
        is_unified = self.daemon.update_password_for_directory(old_password=""123456"", new_password=""123456"")
        self.assertFalse(is_unified)
        # verify that files on disk haven't changed:
        with open(path1, ""rb"") as f:
            raw1_after = f.read()
        with open(path2, ""rb"") as f:
            raw2_after = f.read()
        self.assertEqual(raw1_before, raw1_after)
        self.assertEqual(raw2_before, raw2_after)",,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,[],
